formatted_date,HXS.TO,ZQQ.TO,DF.TO
2011-07-20,5.684999942779541,18.5,10.25
2011-07-21,5.755000114440918,18.670000076293945,10.199999809265137
2011-07-22,5.769999980926514,18.899999618530273,10.3100004196167
2011-07-25,5.715000152587891,18.81999969482422,10.489999771118164
2011-07-26,5.715000152587891,18.8700008392334,10.600000381469727
2011-07-27,5.599999904632568,18.3799991607666,10.230000114440918
2011-07-28,5.625,18.440000534057617,10.159309405855264
2011-07-29,5.545000076293945,18.389999389648438,9.94723631700963
2011-08-02,5.389999866485596,17.829999923706055,10.098716682004223
2011-08-03,5.360000133514404,18.0,10.078518786357652
2011-08-04,5.150000095367432,17.190000534057617,9.199930550593924
2011-08-05,5.144999980926514,17.0,9.058549133422616
2011-08-08,4.864999771118164,16.0,8.735389544698183
2011-08-09,4.945000171661377,16.530000686645508,9.240325378798396
2011-08-10,4.78000020980835,16.139999389648438,9.240325378798396
2011-08-11,4.994999885559082,16.950000762939453,9.684669452136237
2011-08-12,5.050000190734863,16.93000030517578,9.694768399959523
2011-08-15,5.050000190734863,17.149999618530273,9.886643593158587
2011-08-16,5.125,17.079999923706055,10.068420801623038
2011-08-17,5.090000152587891,16.90999984741211,10.240099062264203
2011-08-18,4.875,15.9399995803833,9.886643593158587
2011-08-19,4.809999942779541,15.800000190734863,9.482695311113888
2011-08-22,4.864999771118164,15.8100004196167,9.644274623931768
2011-08-23,4.804999828338623,16.31999969482422,9.866446660600689
2011-08-24,5.019999980926514,16.649999618530273,9.94723631700963
2011-08-25,5.065000057220459,16.399999618530273,9.886643593158587
2011-08-26,4.900000095367432,16.780000686645508,9.846248764954117
2011-08-29,5.170000076293945,17.270000457763672,9.74526179075181
2011-08-30,5.164999961853027,17.43000030517578,9.74526179075181
2011-08-31,5.199999809265137,17.309999465942383,9.847305830890898
2011-09-01,5.164999961853027,17.290000915527344,9.7044439800615
2011-09-02,5.03000020980835,16.93000030517578,9.74526179075181
2011-09-06,4.90500020980835,16.68000030517578,9.64321677743935
2011-09-07,5.119999885559082,17.219999313354492,10.112622086964597
2011-09-08,5.125,17.15999984741211,9.847305830890898
2011-09-09,5.125,16.829999923706055,9.69423928409558
2011-09-12,4.96999979019165,16.719999313354492,9.4391277239878
2011-09-13,5.0,17.219999313354492,9.275856481226562
2011-09-14,5.110000133514404,17.559999465942383,9.4391277239878
2011-09-15,5.110000133514404,17.649999618530273,9.4391277239878
2011-09-16,5.199999809265137,17.90999984741211,9.68403458812966
2011-09-19,5.199999809265137,18.010000228881836,9.69423928409558
2011-09-20,5.199999809265137,17.8799991607666,9.61260366271496
2011-09-21,5.110000133514404,17.760000228881836,9.62280835868088
2011-09-22,4.809999942779541,17.0,9.092175846533483
2011-09-23,4.860000133514404,17.1299991607666,8.979927110428473
